"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 20:26:56 CST 2022","Wed Jun 08 20:26:56 CST 2022","273","API_test","test_api","Test_request","","","test_code",""
"passed","Wed Jun 08 20:26:56 CST 2022","Wed Jun 08 20:26:56 CST 2022","78","API_test","test_api","Test_request","","","test_post_token",""
"passed","Wed Jun 08 20:26:56 CST 2022","Wed Jun 08 20:26:57 CST 2022","66","API_test","test_api","Test_request","","","test_get",""
